SG_PARTIDO,CD_TP_DOCUMENTO,DS_TP_DOCUMENTO,tipo_valor,valor
REDE,2,DOCUMENTO FISCAL,total_pago,2435915.12
REDE,3,FATURA,total_pago,1303996.65
REDE,4,RECIBO,total_pago,776688.37
REDE,5,OUTROS,total_pago,1739182.71
DC,#NULO#,#NULO#,total_documento,172298.37
DC,0,BOLETO,total_documento,74204.58
DC,1,CONTRATO,total_documento,87324.64
DC,2,DOCUMENTO FISCAL,total_documento,1520955.29
DC,3,FATURA,total_documento,338096.10000000003
DC,4,RECIBO,total_documento,3071075.9
DC,5,OUTROS,total_documento,82729.08
MDB,#NULO#,#NULO#,total_documento,48549859.68
MDB,0,BOLETO,total_documento,1784532.52
MDB,1,CONTRATO,total_documento,2249407.03
MDB,2,DOCUMENTO FISCAL,total_documento,31645843.66
MDB,3,FATURA,total_documento,4020646.41
MDB,4,RECIBO,total_documento,10487375.43
MDB,5,OUTROS,total_documento,42461570.92
NOVO,#NULO#,#NULO#,total_documento,1642811.41
NOVO,0,BOLETO,total_documento,423786.9
NOVO,1,CONTRATO,total_documento,25600.16
NOVO,2,DOCUMENTO FISCAL,total_documento,13042667.14
NOVO,3,FATURA,total_documento,1603204
NOVO,4,RECIBO,total_documento,2313528.11
NOVO,5,OUTROS,total_documento,1501367.5
PATRI,#NULO#,#NULO#,total_documento,1706732.28
PATRI,0,BOLETO,total_documento,89914.74
PATRI,1,CONTRATO,total_documento,103714.56
PATRI,2,DOCUMENTO FISCAL,total_documento,2848559.82
PATRI,3,FATURA,total_documento,716702.35
PATRI,4,RECIBO,total_documento,1967369.85
PATRI,5,OUTROS,total_documento,1294728.33
PDT,#NULO#,#NULO#,total_documento,16803936.41
PDT,0,BOLETO,total_documento,360276.95
PDT,1,CONTRATO,total_documento,770641.27
PDT,2,DOCUMENTO FISCAL,total_documento,5144690.39
PDT,3,FATURA,total_documento,12334584.46
PDT,4,RECIBO,total_documento,6200346.68
PDT,5,OUTROS,total_documento,11238068.86
PODE,#NULO#,#NULO#,total_documento,275838.71
PODE,0,BOLETO,total_documento,825829.05
PODE,1,CONTRATO,total_documento,4300117.99
PODE,2,DOCUMENTO FISCAL,total_documento,1521703.61
PODE,3,FATURA,total_documento,823759.2
PODE,4,RECIBO,total_documento,689948.93
PODE,5,OUTROS,total_documento,2024742.54
PPL,0,BOLETO,total_documento,140899.37
PPL,1,CONTRATO,total_documento,23573.72
PPL,2,DOCUMENTO FISCAL,total_documento,2000665.28
PPL,3,FATURA,total_documento,38791.4
PPL,4,RECIBO,total_documento,108936.76
PPL,5,OUTROS,total_documento,478445.61
PSDB,#NULO#,#NULO#,total_documento,44928589.29
PSDB,0,BOLETO,total_documento,1864487.65
PSDB,1,CONTRATO,total_documento,843835.89
PSDB,2,DOCUMENTO FISCAL,total_documento,NA
PSDB,3,FATURA,total_documento,8317753.5
PSDB,4,RECIBO,total_documento,NA
PSDB,5,OUTROS,total_documento,10409893.59
PSL,#NULO#,#NULO#,total_documento,882029.77
PSL,0,BOLETO,total_documento,18513.99
PSL,1,CONTRATO,total_documento,214776.77
PSL,2,DOCUMENTO FISCAL,total_documento,3676843.35
PSL,3,FATURA,total_documento,949527.93
PSL,4,RECIBO,total_documento,3037075.16
PSL,5,OUTROS,total_documento,956935.45
PSOL,#NULO#,#NULO#,total_documento,5850893.26
PSOL,0,BOLETO,total_documento,390940.78
PSOL,1,CONTRATO,total_documento,481577.55
PSOL,2,DOCUMENTO FISCAL,total_documento,5654240.52
PSOL,3,FATURA,total_documento,3440172.11
PSOL,4,RECIBO,total_documento,2989618.88
PSOL,5,OUTROS,total_documento,5533782.54
PSTU,#NULO#,#NULO#,total_documento,7400
PSTU,0,BOLETO,total_documento,338258.86
PSTU,1,CONTRATO,total_documento,76994.93
PSTU,2,DOCUMENTO FISCAL,total_documento,1681065.77
PSTU,3,FATURA,total_documento,307724.49
PSTU,4,RECIBO,total_documento,1531477.58
PSTU,5,OUTROS,total_documento,217400.12
PT,#NULO#,#NULO#,total_documento,48916319.35
PT,0,BOLETO,total_documento,4878876.07
PT,1,CONTRATO,total_documento,3332087.71
PT,2,DOCUMENTO FISCAL,total_documento,53098261.77
PT,3,FATURA,total_documento,14665170.29
PT,4,RECIBO,total_documento,10232162.21
PT,5,OUTROS,total_documento,66983446.74
REDE,#NULO#,#NULO#,total_documento,1380573.34
REDE,0,BOLETO,total_documento,256646.5
REDE,1,CONTRATO,total_documento,143805.41
REDE,2,DOCUMENTO FISCAL,total_documento,2457580.45
REDE,3,FATURA,total_documento,1329652.67
REDE,4,RECIBO,total_documento,985947.94
REDE,5,OUTROS,total_documento,1734456.3499999999
